PGCname	T
PGC0034156	8
PGC0034159	-3
PGC0034170	8
PGC0034178	3
PGC0034195	5
PGC0034199	2
PGC0034203	6
PGC0034204	3
PGC0034205	0
PGC0034211	4
PGC0034222	-3
PGC0034232	3
PGC0034249	9
PGC0034257	-1
PGC0034260	3
PGC0034268	3
PGC0034278	2
PGC0034284	4
PGC0034298	5
PGC0034303	-5
PGC0034308	9
PGC0034320	-1
PGC0034335	3
PGC0034353	6
PGC0034359	0
PGC0034368	6
PGC0034371	4
PGC0034373	8
PGC0034374	-1
PGC0034379	3
PGC0034387	1
PGC0034399	7
PGC0034476	10
PGC0034478	0
PGC0034481	2
PGC0034485	5
PGC0034486	1
PGC0034489	-3
PGC0034497	9
PGC0034498	-3
PGC0034502	9
PGC0034527	1
PGC0034530	10
PGC0034561	5
PGC0034562	9
PGC0034566	-2
PGC0034578	-2
PGC0034583	-3
PGC0034591	4
PGC0034598	4
PGC0034599	4
PGC0034612	1
PGC0034613	6
PGC0034623	3
PGC0034641	-1
PGC0034652	-3
PGC0034666	7
PGC0034670	4
PGC0034675	3
PGC0034681	6
PGC0034685	-5
PGC0034695	3
PGC0034696	9
PGC0034697	3
PGC0034698	-3
PGC0034699	-3
PGC0034702	0
PGC0034704	10
PGC0034711	3
PGC0034712	-2
PGC0034718	6
PGC0034733	8
PGC0034735	5
PGC0034741	4
PGC0034742	4
PGC0034762	1
PGC0034767	4
PGC0034768	5
PGC0034772	2
PGC0034778	-2
PGC0034780	-5
PGC0034783	-5
PGC0034788	-3
PGC0034801	8
PGC0034802	-1
PGC0034806	2
PGC0034807	-5
PGC0034814	3
PGC0034826	-2
PGC0034827	8
PGC0034829	6
PGC0034837	4
PGC0034842	2
PGC0034858	6
PGC0034859	0
PGC0034861	4
PGC0034864	8
PGC0034870	7
PGC0034887	8
PGC0034889	5
PGC0034906	4
PGC0034908	-2
PGC0034911	-1
PGC0034917	6
PGC0034929	8
PGC0034933	0
PGC0034934	11
PGC0034936	-3
PGC0034946	2
PGC0034948	0
PGC0034949	4
PGC0034956	-3
PGC0034967	8
PGC0034969	11
PGC0034971	8
PGC0034975	6
PGC0034982	3
PGC0034989	0
PGC0034996	4
PGC0035001	0
PGC0035002	-1
PGC0035003	-2
PGC0035005	5
PGC0035013	1
PGC0035014	6
PGC0035015	4
PGC0035016	2
PGC0035030	6
PGC0035037	6
PGC0035039	10
PGC0035041	8
PGC0035042	9
PGC0035043	3
PGC0035061	5
PGC0035064	-1
PGC0035080	10
PGC0035102	4
PGC0035105	5
PGC0035113	9
PGC0035123	5
PGC0035126	-5
PGC0035129	-2
PGC0035158	5
PGC0035164	3
PGC0035168	2
PGC0035170	2
PGC0035174	6
PGC0035181	1
PGC0035185	3
PGC0035191	-2
PGC0035196	5
PGC0035202	9
PGC0035203	-3
PGC0035217	6
PGC0035227	10
PGC0035235	6
PGC0035249	3
PGC0035259	3
PGC0035266	0
PGC0035272	6
PGC0035276	-1
PGC0035281	0
PGC0035295	5
PGC0035302	3
PGC0035306	3
PGC0035307	3
PGC0035314	2
PGC0035320	6
PGC0035321	3
PGC0035326	3
PGC0035327	-3
PGC0035332	6
PGC0035353	3
PGC0035364	3
PGC0035365	0
PGC0035370	-3
PGC0035376	5
PGC0035377	8
PGC0035390	3
PGC0035396	7
PGC0035400	-3
PGC0035413	2
PGC0035419	3
PGC0035420	3
PGC0035437	5
PGC0035440	3
PGC0035447	5
PGC0035450	10
PGC0035451	8
PGC0035458	4
PGC0035465	-3
PGC0035476	4
PGC0035486	9
PGC0035499	3
PGC0035506	6
PGC0035517	6
PGC0035533	-3
PGC0035538	6
PGC0035544	4
PGC0035545	-1
PGC0035560	9
PGC0035563	6
PGC0035569	6
PGC0035578	-3
PGC0035579	6
PGC0035581	5
PGC0035594	3
PGC0035598	6
PGC0035609	-3
PGC0035615	4
PGC0035616	2
PGC0035618	1
PGC0035625	0
PGC0035626	6
PGC0035627	2
PGC0035629	6
PGC0035630	9
PGC0035634	8
PGC0035639	3
PGC0035642	6
PGC0035671	6
PGC0035675	9
PGC0035676	5
PGC0035679	4
PGC0035682	6
PGC0035684	10
PGC0035687	4
PGC0035690	1
PGC0035692	3
PGC0035705	9
PGC0035711	3
PGC0035720	-5
PGC0035725	7
PGC0035729	3
PGC0035731	-5
PGC0035732	1
PGC0035747	2
PGC0035772	0
PGC0035779	3
PGC0035781	-3
PGC0035793	-5
PGC0035797	7
PGC0035802	8
PGC0035803	7
PGC0035813	10
PGC0035819	6
PGC0035826	9
PGC0035829	8
PGC0035839	4
PGC0035840	-3
PGC0035852	11
PGC0035856	10
PGC0035859	-1
PGC0035877	4
PGC0035878	10
PGC0035886	2
PGC0035896	0
PGC0035900	9
PGC0035901	5
PGC0035909	0
PGC0035910	5
PGC0035913	6
PGC0035914	-2
PGC0035925	-5
PGC0035926	3
PGC0035931	5
PGC0035932	4
PGC0035944	7
PGC0035945	-3
PGC0035948	5
PGC0035952	5
PGC0035955	-3
PGC0035963	6
PGC0035964	4
PGC0035966	5
PGC0035979	-1
PGC0035999	3
PGC0036000	9
PGC0036008	10
PGC0036012	4
PGC0036029	7
PGC0036043	-1
PGC0036061	4
PGC0036063	3
PGC0036073	9
PGC0036079	8
PGC0036093	2
PGC0036102	1
PGC0036118	3
PGC0036136	7
PGC0036137	7
PGC0036138	5
PGC0036141	3
PGC0036145	4
PGC0036149	7
PGC0036155	4
PGC0036158	3
PGC0036160	3
PGC0036174	9
PGC0036176	7
PGC0036177	-4
PGC0036182	-2
PGC0036187	4
PGC0036188	9
PGC0036190	-3
PGC0036193	3
PGC0036197	3
PGC0036205	1
PGC0036206	3
PGC0036208	6
PGC0036237	6
PGC0036238	9
PGC0036242	5
PGC0036243	3
PGC0036248	3
PGC0036250	6
PGC0036257	2
PGC0036265	3
PGC0036266	3
PGC0036294	3
PGC0036297	8
PGC0036299	-1
PGC0036307	-3
PGC0036316	8
PGC0036319	3
PGC0036325	3
PGC0036329	8
PGC0036343	8
PGC0036344	10
PGC0036348	2
PGC0036358	-3
PGC0036368	7
PGC0036370	1
PGC0036381	6
PGC0036419	10
PGC0036432	8
PGC0036439	4
PGC0036441	5
PGC0036444	-5
PGC0036447	8
PGC0036450	0
PGC0036455	2
PGC0036471	0
PGC0036475	3
PGC0036489	6
PGC0036493	2
PGC0036504	-5
PGC0036505	-2
PGC0036506	9
PGC0036519	0
PGC0036528	9
PGC0036530	2
PGC0036536	3
PGC0036539	4
PGC0036568	4
PGC0036571	8
PGC0036580	3
PGC0036594	10
PGC0036597	7
PGC0036607	4
PGC0036611	-3
PGC0036613	-3
PGC0036614	-3
PGC0036618	0
PGC0036634	-2
PGC0036642	-1
PGC0036644	6
PGC0036658	3
PGC0036659	3
PGC0036660	8
PGC0036669	-2
PGC0036671	6
PGC0036678	-3
PGC0036686	0
PGC0036699	3
PGC0036703	8
PGC0036707	7
PGC0036713	10
PGC0036726	5
PGC0036750	11
PGC0036784	9
PGC0036786	4
PGC0036789	3
PGC0036795	3
PGC0036800	4
PGC0036811	4
PGC0036817	-3
PGC0036824	4
PGC0036825	9
PGC0036836	5
PGC0036868	7
PGC0036875	3
PGC0036887	8
PGC0036889	-3
PGC0036893	3
PGC0036897	9
PGC0036899	9
PGC0036902	5
PGC0036903	9
PGC0036907	1
PGC0036921	0
PGC0036928	2
PGC0036930	7
PGC0036941	-3
PGC0036944	-1
PGC0036950	-1
PGC0036951	6
PGC0036953	9
PGC0036962	3
PGC0036966	-5
PGC0036969	-3
PGC0036973	7
PGC0036988	7
PGC0036998	4
PGC0037004	4
PGC0037010	3
PGC0037014	3
PGC0037016	-2
PGC0037022	0
PGC0037023	8
PGC0037024	8
PGC0037029	8
PGC0037036	6
PGC0037037	9
PGC0037047	3
PGC0037050	10
PGC0037063	0
PGC0037072	-2
PGC0037073	-3
PGC0037088	4
PGC0037091	4
PGC0037093	-2
PGC0037100	0
PGC0037103	3
PGC0037104	-4
PGC0037105	-5
PGC0037125	5
PGC0037132	7
PGC0037136	-1
PGC0037147	4
PGC0037160	-2
PGC0037164	9
PGC0037202	10
PGC0037208	8
PGC0037217	10
PGC0037222	6
PGC0037229	5
PGC0037235	-1
PGC0037236	8
PGC0037258	0
PGC0037259	7
PGC0037276	6
PGC0037290	3
PGC0037298	3
PGC0037306	3
PGC0037308	6
PGC0037321	4
PGC0037336	9
PGC0037339	-1
PGC0037352	4
PGC0037358	1
PGC0037374	7
PGC0037380	4
PGC0037386	5
PGC0037400	3
PGC0037407	10
PGC0037418	8
PGC0037419	6
PGC0037429	5
PGC0037430	-3
PGC0037434	0
PGC0037438	7
PGC0037444	6
PGC0037449	10
PGC0037466	5
PGC0037480	4
PGC0037483	2
PGC0037488	-2
PGC0037497	4
PGC0037501	5
PGC0037502	3
PGC0037506	-3
PGC0037515	8
PGC0037520	3
PGC0037521	4
PGC0037525	7
PGC0037532	5
PGC0037542	6
PGC0037544	1
PGC0037548	6
PGC0037553	9
PGC0037554	8
PGC0037556	8
PGC0037559	-2
PGC0037584	7
PGC0037589	7
PGC0037598	9
PGC0037613	9
PGC0037614	4
PGC0037616	3
PGC0037617	5
PGC0037618	-2
PGC0037624	6
PGC0037642	-5
PGC0037651	2
PGC0037655	-5
PGC0037665	-3
PGC0037673	-3
PGC0037678	4
PGC0037682	8
PGC0037686	4
PGC0037689	8
PGC0037691	3
PGC0037692	7
PGC0037693	0
PGC0037695	2
PGC0037697	6
PGC0037700	9
PGC0037708	4
PGC0037710	8
PGC0037719	2
PGC0037721	2
PGC0037722	10
PGC0037735	7
PGC0037737	8
PGC0037738	7
PGC0037745	0
PGC0037757	-5
PGC0037760	-2
PGC0037764	8
PGC0037778	-3
PGC0037784	3
PGC0037791	5
PGC0037809	8
PGC0037810	7
PGC0037816	1
PGC0037832	9
PGC0037839	4
PGC0037844	-3
PGC0037845	3
PGC0037861	8
PGC0037883	7
PGC0037889	10
PGC0037893	10
PGC0037905	-2
PGC0037912	9
PGC0037914	9
PGC0037916	-6
PGC0037927	10
PGC0037928	7
PGC0037930	-1
PGC0037933	4
PGC0037940	9
PGC0037943	-2
PGC0037949	4
PGC0037951	9
PGC0037971	5
PGC0037999	3
PGC0038010	0
PGC0038012	2
PGC0038014	9
PGC0038018	-5
PGC0038024	5
PGC0038031	3
PGC0038033	-2
PGC0038036	5
PGC0038552	4
PGC0038565	-3
PGC0038567	8
PGC0038572	10
PGC0038582	2
PGC0038585	2
PGC0038601	3
PGC0038603	-5
PGC0038613	1
PGC0038619	5
PGC0038624	11
PGC0038643	0
PGC0038645	9
PGC0038654	-2
PGC0038665	4
PGC0038669	7
PGC0038674	10
PGC0038677	4
PGC0038680	8
PGC0038682	3
PGC0038684	11
PGC0038687	3
PGC0038688	8
PGC0038690	4
PGC0038692	10
PGC0038693	6
PGC0038704	0
PGC0038706	6
PGC0038718	-2
PGC0038720	2
PGC0038739	2
PGC0038740	-3
PGC0038746	4
PGC0038749	3
PGC0038773	3
PGC0038778	9
PGC0038781	10
PGC0038793	10
PGC0038794	-4
PGC0038795	3
PGC0038803	9
PGC0038811	9
PGC0038815	9
PGC0038820	-1
PGC0038822	10
PGC0038848	4
PGC0038852	4
PGC0038858	6
PGC0038881	10
PGC0038885	4
PGC0038888	8
PGC0038890	-5
PGC0038905	10
PGC0038916	5
PGC0038921	-6
PGC0038933	7
PGC0038935	6
PGC0038943	7
PGC0038945	9
PGC0038946	3
PGC0038950	-2
PGC0038951	10
PGC0038964	3
PGC0038988	7
PGC0039002	8
PGC0039004	-1
PGC0039014	5
PGC0039017	7
PGC0039023	10
PGC0039025	5
PGC0039028	3
PGC0039034	-5
PGC0039040	4
PGC0039053	-3
PGC0039058	10
PGC0039067	9
PGC0039068	0
PGC0039073	8
PGC0039082	7
PGC0039090	1
PGC0039092	-5
PGC0039099	1
PGC0039113	10
PGC0039114	7
PGC0039122	4
PGC0039124	-3
PGC0039138	2
PGC0039142	9
PGC0039145	10
PGC0039150	9
PGC0039152	5
PGC0039158	-2
PGC0039160	-2
PGC0039170	8
PGC0039183	5
PGC0039184	5
PGC0039188	3
PGC0039191	10
PGC0039203	7
PGC0039211	9
PGC0039215	11
PGC0039224	3
PGC0039225	9
PGC0039233	7
PGC0039237	9
PGC0039241	3
PGC0039245	4
PGC0039246	2
PGC0039251	-2
PGC0039256	11
PGC0039265	10
PGC0039266	0
PGC0039275	3
PGC0039280	6
PGC0039285	1
PGC0039308	6
PGC0039312	3
PGC0039316	10
PGC0039321	7
PGC0039328	1
PGC0039329	-2
PGC0039335	-3
PGC0039344	7
PGC0039348	4
PGC0039353	4
PGC0039354	4
PGC0039366	7
PGC0039380	10
PGC0039384	-2
PGC0039388	9
PGC0039389	0
PGC0039390	6
PGC0039393	3
PGC0039397	11
PGC0039412	-1
PGC0039418	2
PGC0039422	7
PGC0039423	9
PGC0039431	10
PGC0039461	9
PGC0039466	4
PGC0039474	8
PGC0039479	5
PGC0039480	0
PGC0039483	6
PGC0039493	2
PGC0039495	4
PGC0039497	4
PGC0039503	11
PGC0039537	7
PGC0039568	1
PGC0039578	3
PGC0039580	6
PGC0039587	-3
PGC0039592	-3
PGC0039600	3
PGC0039601	4
PGC0039613	9
PGC0039615	10
PGC0039624	1
PGC0039628	10
PGC0039635	5
PGC0039656	1
PGC0039657	-2
PGC0039659	-5
PGC0039676	-1
PGC0039680	-1
PGC0039683	-5
PGC0039687	-1
PGC0039695	-6
PGC0039697	7
PGC0039699	0
PGC0039704	7
PGC0039705	4
PGC0039708	11
PGC0039710	-3
PGC0039712	-1
PGC0039714	3
PGC0039718	-2
PGC0039719	-3
PGC0039738	3
PGC0039753	3
PGC0039759	-2
PGC0039775	4
PGC0039785	10
PGC0039794	6
PGC0039799	10
PGC0039819	7
PGC0039832	8
PGC0039840	9
PGC0039859	3
PGC0039864	10
PGC0039886	4
PGC0039892	5
PGC0039897	-3
PGC0039902	8
PGC0039918	10
PGC0039919	3
PGC0039925	7
PGC0039943	-1
PGC0039950	3
PGC0039953	-3
PGC0039964	3
PGC0039965	11
PGC0039968	9
PGC0039974	5
PGC0039999	10
PGC0040002	11
PGC0040004	9
PGC0040005	10
PGC0040014	10
PGC0040015	3
PGC0040026	9
PGC0040030	5
PGC0040031	-3
PGC0040032	11
PGC0040033	5
PGC0040034	8
PGC0040051	0
PGC0040068	11
PGC0040078	1
PGC0040095	5
PGC0040105	4
PGC0040111	8
PGC0040119	5
PGC0040122	-6
PGC0040128	10
PGC0040133	3
PGC0040145	4
PGC0040147	8
PGC0040153	3
PGC0040169	-5
PGC0040171	11
PGC0040201	6
PGC0040209	11
PGC0040218	2
PGC0040228	-2
PGC0040250	6
PGC0040251	3
PGC0040252	-1
PGC0040256	6
PGC0040260	5
PGC0040264	9
PGC0040273	9
PGC0040278	8
PGC0040280	-1
PGC0040284	4
PGC0040296	5
PGC0040303	9
PGC0040306	9
PGC0040309	-5
PGC0040313	-3
PGC0040317	7
PGC0040329	10
PGC0040330	9
PGC0040337	6
PGC0040342	5
PGC0040346	0
PGC0040347	8
PGC0040363	-5
PGC0040374	3
PGC0040375	-5
PGC0040396	-1
PGC0040406	3
PGC0040439	-1
PGC0040442	-1
PGC0040455	-5
PGC0040475	3
PGC0040477	-2
PGC0040484	-2
PGC0040485	11
PGC0040500	-2
PGC0040507	4
PGC0040530	8
PGC0040536	-3
PGC0040537	3
PGC0040561	2
PGC0040562	-3
PGC0040563	10
PGC0040564	3
PGC0040566	6
PGC0040581	5
PGC0040596	7
PGC0040597	7
PGC0040605	5
PGC0040607	5
PGC0040621	5
PGC0040622	7
PGC0040629	3
PGC0040632	6
PGC0040643	3
PGC0040644	2
PGC0040645	8
PGC0040652	-4
PGC0040653	-5
PGC0040658	9
PGC0040660	6
PGC0040673	-2
PGC0040694	0
PGC0040695	7
PGC0040697	-1
PGC0040705	5
PGC0040727	11
PGC0040743	7
PGC0040745	7
PGC0040754	10
PGC0040756	-2
PGC0040761	10
PGC0040762	0
PGC0040772	0
PGC0040775	3
PGC0040785	-1
PGC0040789	7
PGC0040790	10
PGC0040791	10
PGC0040797	-2
PGC0040807	7
PGC0040809	0
PGC0040811	9
PGC0040816	-2
PGC0040820	5
PGC0040836	0
PGC0040839	7
PGC0040850	-1
PGC0040851	6
PGC0040852	11
PGC0040857	2
PGC0040861	10
PGC0040886	-5
PGC0040898	-3
PGC0040903	11
PGC0040904	10
PGC0040914	2
PGC0040918	4
PGC0040927	1
PGC0040950	-2
PGC0040954	6
PGC0040956	5
PGC0040962	6
PGC0040964	11
PGC0040973	10
PGC0040985	11
PGC0040987	3
PGC0041017	8
PGC0041020	10
PGC0041031	4
PGC0041036	10
PGC0041048	10
PGC0041050	4
PGC0041051	7
PGC0041054	11
PGC0041060	-3
PGC0041061	3
PGC0041063	9
PGC0041069	-1
PGC0041083	1
PGC0041095	-5
PGC0041101	0
PGC0041104	-5
PGC0041109	8
PGC0041111	-1
PGC0041119	5
PGC0041125	6
PGC0041153	6
PGC0041155	11
PGC0041164	0
PGC0041166	9
PGC0041169	-3
PGC0041170	7
PGC0041171	-5
PGC0041177	10
PGC0041189	9
PGC0041202	4
PGC0041207	10
PGC0041217	-5
PGC0041220	-5
PGC0041228	-3
PGC0041239	10
PGC0041241	-3
PGC0041244	1
PGC0041255	-1
PGC0041258	10
PGC0041260	-1
PGC0041269	8
PGC0041272	11
PGC0041283	10
PGC0041297	-5
PGC0041302	-2
PGC0041307	6
PGC0041317	5
PGC0041326	10
PGC0041327	-6
PGC0041333	10
PGC0041339	-2
PGC0041361	-5
PGC0041363	0
PGC0041376	11
PGC0041383	0
PGC0041395	10
PGC0041400	2
PGC0041404	-3
PGC0041407	2
PGC0041409	-3
PGC0041410	8
PGC0041435	11
PGC0041436	3
PGC0041457	11
PGC0041466	9
PGC0041471	6
PGC0041473	4
PGC0041489	-3
PGC0041494	11
PGC0041504	9
PGC0041505	11
PGC0041514	5
PGC0041517	3
PGC0041527	-3
PGC0041538	-2
PGC0041546	11
PGC0041552	11
PGC0041572	9
PGC0041576	9
PGC0041578	7
PGC0041579	6
PGC0041586	11
PGC0041587	-2
PGC0041599	7
PGC0041601	8
PGC0041606	11
PGC0041608	9
PGC0041614	11
PGC0041618	6
PGC0041620	7
PGC0041621	-2
PGC0041634	-5
PGC0041636	10
PGC0041646	-6
PGC0041660	10
PGC0041661	-1
PGC0041667	10
PGC0041670	9
PGC0041700	10
PGC0041719	6
PGC0041729	7
PGC0041737	10
PGC0041738	-2
PGC0041739	-2
PGC0041746	9
PGC0041758	10
PGC0041763	9
PGC0041766	10
PGC0041769	8
PGC0041772	-2
PGC0041779	7
PGC0041781	-3
PGC0041788	2
PGC0041789	3
PGC0041806	8
PGC0041811	8
PGC0041812	5
PGC0041816	8
PGC0041823	3
PGC0041827	6
PGC0041828	11
PGC0041829	9
PGC0041838	5
PGC0041846	10
PGC0041847	9
PGC0041861	10
PGC0041865	10
PGC0041876	9
PGC0041882	3
PGC0041902	10
PGC0041911	3
PGC0041934	2
PGC0041941	3
PGC0041943	-1
PGC0041958	5
PGC0041963	-5
PGC0041968	-5
PGC0041982	6
PGC0041998	6
PGC0041999	-3
PGC0042045	7
PGC0042051	-3
PGC0042064	3
PGC0042069	3
PGC0042074	9
PGC0042079	10
PGC0042080	10
PGC0042081	10
PGC0042089	2
PGC0042096	-2
PGC0042100	6
PGC0042108	10
PGC0042109	-3
PGC0042149	-3
PGC0042152	4
PGC0042153	-3
PGC0042168	2
PGC0042169	10
PGC0042173	9
PGC0042174	2
PGC0042195	9
PGC0042199	-3
PGC0042202	3
PGC0042223	11
PGC0042230	8
PGC0042241	0
PGC0042253	11
PGC0042255	7
PGC0042264	4
PGC0042268	2
PGC0042275	10
PGC0042277	6
PGC0042305	-6
PGC0042317	6
PGC0042336	8
PGC0042342	-2
PGC0042348	10
PGC0042362	5
PGC0042370	1
PGC0042380	10
PGC0042393	9
PGC0042396	9
PGC0042401	0
PGC0042408	9
PGC0042427	11
PGC0042430	11
PGC0042447	11
PGC0042453	1
PGC0042469	8
PGC0042471	0
PGC0042503	11
PGC0042516	0
PGC0042520	5
PGC0042530	5
PGC0042542	9
PGC0042544	5
PGC0042545	0
PGC0042559	8
PGC0042574	-2
PGC0042575	9
PGC0042594	5
PGC0042598	11
PGC0042607	6
PGC0042608	11
PGC0042614	7
PGC0042618	2
PGC0042619	0
PGC0042620	11
PGC0042628	-5
PGC0042637	6
PGC0042638	11
PGC0042647	-2
PGC0042656	10
PGC0042688	9
PGC0042689	3
PGC0042692	9
PGC0042699	9
PGC0042707	5
PGC0042708	3
PGC0042709	6
PGC0042727	5
PGC0042728	-1
PGC0042734	-5
PGC0042741	3
PGC0042744	11
PGC0042747	5
PGC0042769	11
PGC0042782	4
PGC0042791	6
PGC0042797	-1
PGC0042816	3
PGC0042831	-5
PGC0042832	10
PGC0042836	5
PGC0042847	5
PGC0042857	3
PGC0042858	7
PGC0042863	9
PGC0042881	10
PGC0042887	10
PGC0042901	10
PGC0042904	5
PGC0042909	4
PGC0042910	8
PGC0042913	-1
PGC0042917	-3
PGC0042919	6
PGC0042921	10
PGC0042938	6
PGC0042949	11
PGC0042963	-5
PGC0042969	11
PGC0042970	0
PGC0042975	3
PGC0042998	3
PGC0042999	9
PGC0043036	-3
PGC0043052	7
PGC0043064	6
PGC0043074	1
PGC0043100	11
PGC0043101	1
PGC0043106	8
PGC0043124	10
PGC0043128	8
PGC0043129	10
PGC0043136	3
PGC0043146	-3
PGC0043149	-2
PGC0043153	0
PGC0043157	-5
PGC0043185	4
PGC0043186	6
PGC0043189	7
PGC0043197	8
PGC0043198	6
PGC0043202	-5
PGC0043238	1
PGC0043241	0
PGC0043254	1
PGC0043255	10
PGC0043286	4
PGC0043288	3
PGC0043303	8
PGC0043331	5
PGC0043338	8
PGC0043375	0
PGC0043386	11
PGC0043400	10
PGC0043413	6
PGC0043428	2
PGC0043430	-3
PGC0043452	6
PGC0043470	8
PGC0043495	1
PGC0043504	3
PGC0043516	-1
PGC0043525	3
PGC0043575	7
PGC0043601	3
PGC0043656	-2
PGC0043671	-1
PGC0043707	7
PGC0043728	2
PGC0043733	-2
PGC0043750	8
PGC0043775	9
PGC0043784	5
PGC0043798	0
PGC0043837	3
PGC0043894	6
PGC0043931	3
PGC0043939	3
PGC0043969	10
PGC0043971	10
PGC0043996	9
PGC0043998	-1
PGC0044014	7
PGC0044025	4
PGC0044032	5
PGC0044033	8
PGC0044066	10
PGC0044086	3
PGC0044089	9
PGC0044102	10
PGC0044117	3
PGC0044125	8
PGC0044170	10
PGC0044213	3
PGC0044240	8
PGC0044254	4
PGC0044323	-3
PGC0044329	-3
PGC0044354	9
PGC0044370	7
PGC0044388	0
PGC0044392	1
PGC0044414	11
PGC0044432	7
PGC0044450	7
PGC0044468	8
PGC0044491	10
PGC0044495	4
PGC0044536	10
PGC0044557	3
PGC0044600	0
PGC0044631	7
PGC0044641	4
PGC0044719	0
PGC0044731	4
PGC0044733	9
PGC0044782	11
PGC0044797	4
PGC0044806	0
PGC0044807	-5
PGC0044838	4
PGC0044846	5
PGC0044858	9
PGC0044867	-5
PGC0044896	0
PGC0044908	-1
PGC0044913	4
PGC0044920	6
PGC0044921	4
PGC0044932	4
PGC0044961	7
PGC0044963	4
PGC0044986	2
PGC0045015	5
PGC0045039	6
PGC0045071	8
PGC0045085	6
PGC0045093	2
PGC0045137	7
PGC0045145	5
PGC0045168	4
PGC0045195	9
PGC0045196	-5
PGC0045233	-3
PGC0045236	-5
PGC0045261	4
PGC0045264	4
PGC0045274	10
PGC0045306	10
PGC0045309	4
PGC0045314	10
PGC0045322	5
PGC0045336	4
PGC0045339	1
PGC0045361	6
PGC0045362	4
PGC0045366	8
PGC0045372	10
PGC0045410	8
PGC0045435	3
PGC0045451	7
PGC0045457	6
PGC0045472	-5
PGC0045478	2
PGC0045480	6
PGC0045491	6
PGC0045502	-5
PGC0045506	10
PGC0045521	0
PGC0045522	-1
PGC0045528	0
PGC0045534	5
PGC0045538	2
PGC0045560	1
PGC0045567	6
PGC0045572	-1
PGC0045580	2
PGC0045583	3
PGC0045593	0
PGC0045605	-1
PGC0045610	6
PGC0045614	8
PGC0045629	0
PGC0045632	4
PGC0045644	4
PGC0045655	-2
PGC0045658	4
PGC0045668	8
PGC0045684	7
PGC0045700	7
PGC0045719	-2
PGC0045728	9
PGC0045737	6
PGC0045739	4
PGC0045741	8
PGC0045749	3
PGC0045750	7
PGC0045755	10
PGC0045756	-5
PGC0045757	3
PGC0045773	4
PGC0045778	-3
PGC0045779	7
PGC0045781	4
PGC0045782	0
PGC0045787	-1
PGC0045798	8
PGC0045807	8
PGC0045814	7
PGC0045828	3
PGC0045833	2
PGC0045834	3
PGC0045840	10
PGC0045844	7
PGC0045848	8
PGC0045849	7
PGC0045875	8
PGC0045880	-5
PGC0045883	3
PGC0045887	4
PGC0045897	11
PGC0045905	8
PGC0045915	4
PGC0045920	0
PGC0045921	4
PGC0045927	10
PGC0045934	8
PGC0045936	4
PGC0045938	9
PGC0045939	10
PGC0045948	3
PGC0045992	10
PGC0046009	8
PGC0046039	10
PGC0046041	7
PGC0046046	4
PGC0046065	10
PGC0046077	1
PGC0046089	6
PGC0046092	0
PGC0046093	10
PGC0046127	10
PGC0046131	-1
PGC0046138	-2
PGC0046152	4
PGC0046153	3
PGC0046171	4
PGC0046180	4
PGC0046202	-2
PGC0046206	-3
PGC0046218	6
PGC0046250	2
PGC0046262	6
PGC0046263	-3
PGC0046278	3
PGC0046293	7
PGC0046319	3
PGC0046321	2
PGC0046336	6
PGC0046342	3
PGC0046354	7
PGC0046355	2
PGC0046372	6
PGC0046386	7
PGC0046413	4
PGC0046427	2
PGC0046472	0
PGC0046507	1
PGC0046530	8
PGC0046534	4
PGC0046548	4
PGC0046556	10
PGC0046560	6
PGC0046561	3
PGC0046601	9
PGC0046617	7
PGC0046633	3
PGC0046636	9
PGC0046644	3
PGC0046647	7
PGC0046657	3
PGC0046666	10
PGC0046671	6
PGC0046717	3
PGC0046739	9
PGC0046746	6
PGC0046754	5
PGC0046767	3
PGC0046782	4
PGC0046804	6
PGC0046809	-4
PGC0046816	4
PGC0046819	-2
PGC0046836	-5
PGC0046844	5
PGC0046851	6
PGC0046855	0
PGC0046868	0
PGC0046882	8
PGC0046906	-5
PGC0046919	-3
PGC0046952	9
PGC0047011	3
PGC0047020	10
PGC0047027	9
PGC0047041	6
PGC0047053	9
PGC0047058	7
PGC0047060	6
PGC0047093	4
PGC0047096	-1
PGC0047122	-2
PGC0047124	4
PGC0047131	1
PGC0047162	5
PGC0047178	2
PGC0047189	2
PGC0047231	6
PGC0047234	1
PGC0047235	6
PGC0047238	7
PGC0047254	8
PGC0047257	-5
PGC0047270	7
PGC0047318	-1
PGC0047339	-5
PGC0047346	4
PGC0047349	9
PGC0047354	9
PGC0047358	1
PGC0047368	9
PGC0047369	1
PGC0047371	7
PGC0047404	3
PGC0047415	8
PGC0047422	2
PGC0047432	3
PGC0047438	4
PGC0047441	-5
PGC0047455	10
PGC0047462	5
PGC0047469	6
PGC0047490	9
PGC0047495	10
PGC0047503	3
PGC0047512	8
PGC0047537	4
PGC0047540	-5
PGC0047564	-5
PGC0047566	1
PGC0047579	-2
PGC0047589	5
PGC0047598	-2
PGC0047603	3
PGC0047612	4
PGC0047634	6
PGC0047637	1
PGC0047641	3
PGC0047654	-5
PGC0047658	10
PGC0047675	4
PGC0047678	1
PGC0047680	6
PGC0047709	2
PGC0047718	7
PGC0047794	-3
PGC0047809	5
PGC0047812	4
PGC0047822	-4
PGC0047837	-1
PGC0047842	3
PGC0047853	10
PGC0047855	5
PGC0047867	6
PGC0047869	3
PGC0047872	3
PGC0047873	0
PGC0047895	0
PGC0047896	8
